"moth","wb","trial","lax_count","lba_count","lsa_count","ldvm_count","ldlm_count","rdlm_count","rdvm_count","rsa_count","rba_count","rax_count","lax1","lax2","lax3","lax4","lba1","lba2","lba3","lba4","lba5","lsa1","lsa2","lsa3","lsa4","ldvm1","ldvm2","ldvm3","ldvm4","ldlm1","ldlm2","rdlm1","rdlm2","rdvm1","rdvm2","rdvm3","rsa1","rsa2","rsa3","rsa4","rba1","rba2","rba3","rba4","rax1","rax2","rax3","rax4"
"2024_11_01",1100,"pre",1,1,1,1,1,1,1,1,1,0,0.25057471264367814,NA,NA,NA,0.37471264367816093,NA,NA,NA,NA,0.46436781609195404,NA,NA,NA,-0.22528264822051788,NA,NA,NA,0.3931034482758621,NA,0.2942528735632184,NA,-0.27815510647635366,NA,NA,0.7402298850574712,NA,NA,NA,-0.32413115713360224,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1101,"pre",1,0,1,2,1,1,1,1,0,1,0.2751196172248804,NA,NA,NA,NA,NA,NA,NA,NA,0.48325358851674644,NA,NA,NA,-0.25595698570762354,0.32057416267942584,NA,NA,0.39952153110047844,NA,0.2703349282296651,NA,-0.29423092749567936,NA,NA,0.7679425837320574,NA,NA,NA,NA,NA,NA,NA,0.6555023923444976,NA,NA,NA
"2024_11_01",1104,"pre",1,0,2,1,1,1,1,1,1,1,0.30155210643015523,NA,NA,NA,NA,NA,NA,NA,NA,0.49223946784922396,0.8181818181818182,NA,NA,-0.19291632229322475,NA,NA,NA,0.4146341463414634,NA,0.328159645232816,NA,-0.23061261515511924,NA,NA,0.7605321507760532,NA,NA,NA,-0.2927006269276514,NA,NA,NA,0.6629711751662971,NA,NA,NA
"2024_11_01",1107,"pre",1,1,1,0,2,1,1,1,1,1,0.30855855855855857,NA,NA,NA,-0.1081137057940247,NA,NA,NA,NA,0.4774774774774775,NA,NA,NA,NA,NA,NA,NA,-0.17343240304458138,0.4099099099099099,0.3063063063063063,NA,-0.24550820690726452,NA,NA,0.7725225225225225,NA,NA,NA,-0.3310982239942008,NA,NA,NA,0.5698198198198198,NA,NA,NA
"2024_11_01",1108,"pre",1,1,1,1,1,1,1,1,1,1,0.2909090909090909,NA,NA,NA,0.38181818181818183,NA,NA,NA,NA,0.4636363636363636,NA,NA,NA,-0.2272680844109416,NA,NA,NA,0.3931818181818182,NA,0.2909090909090909,NA,-0.24772221200792632,NA,NA,0.7636363636363637,NA,NA,NA,-0.4318093603807889,NA,NA,NA,0.5909090909090909,NA,NA,NA
"2024_11_01",1110,"pre",1,0,1,1,1,1,1,1,1,1,0.2814645308924485,NA,NA,NA,NA,NA,NA,NA,NA,0.4805491990846682,NA,NA,NA,-0.21510410121067403,NA,NA,NA,0.391304347826087,NA,0.30892448512585813,NA,-0.258582589753257,NA,NA,0.7414187643020596,NA,NA,NA,-0.3340978593272172,NA,NA,NA,0.5881006864988558,NA,NA,NA
"2024_11_01",1111,"pre",1,1,1,1,1,1,1,1,1,1,0.27522935779816515,NA,NA,NA,0.3853211009174312,NA,NA,NA,NA,0.47477064220183485,NA,NA,NA,-0.22706303117259877,NA,NA,NA,0.3967889908256881,NA,0.2958715596330275,NA,-0.2683472186585257,NA,NA,0.7522935779816514,NA,NA,NA,-0.4151354408307107,NA,NA,NA,0.7018348623853211,NA,NA,NA
"2024_11_01",1113,"pre",2,0,1,1,2,1,1,1,1,1,0.271889400921659,0.576036866359447,NA,NA,NA,NA,NA,NA,NA,0.5092165898617511,NA,NA,NA,0.3271889400921659,NA,NA,NA,-0.16589774078478006,0.4009216589861751,0.2995391705069124,NA,-0.2718879640639451,NA,NA,0.771889400921659,NA,NA,NA,-0.3433161580129475,NA,NA,NA,0.6935483870967742,NA,NA,NA
"2024_11_01",1115,"pre",1,0,1,1,1,1,1,1,0,1,0.29205607476635514,NA,NA,NA,NA,NA,NA,NA,NA,0.514018691588785,NA,NA,NA,-0.22429183719506304,NA,NA,NA,0.40186915887850466,NA,0.3060747663551402,NA,-0.2640101833650221,NA,NA,0.7266355140186916,NA,NA,NA,NA,NA,NA,NA,0.6845794392523364,NA,NA,NA
"2024_11_01",1116,"pre",1,1,1,1,1,1,1,1,1,1,0.7731481481481481,NA,NA,NA,0.4050925925925926,NA,NA,NA,NA,0.5046296296296297,NA,NA,NA,-0.21296755951738583,NA,NA,NA,0.41435185185185186,NA,0.32407407407407407,NA,-0.2361162072910147,NA,NA,0.7453703703703703,NA,NA,NA,-0.31250674494399,NA,NA,NA,0.7106481481481481,NA,NA,NA
